CustomerID,frequency,recency,T,monetary_value,probability_alive,predicted_purchases,predicted_clv,estimated_monetary_value,CLV_segment,RFM,Segment,Subsegment
12347,6.0,731.0,733.0,599.7016666666667,0.9999999999766191,0.2550515796799791,144.36871883369918,571.6977177910106,Medium CLV,333,Risk,"Risk, Medium CLV"
12348,3.0,649.0,724.0,261.48,0.9999999999168414,0.14046059892273463,41.860773083732944,301.0052722174961,Low CLV,322,Risk,"Risk, Low CLV"
12352,6.0,261.0,297.0,181.54,0.9999999999517954,0.5836929576557351,124.97809434392771,216.25732096260236,Medium CLV,231,Risk,"Risk, Medium CLV"
12356,2.0,304.0,326.0,269.90500000000003,0.9999999998651901,0.21097069963350024,66.72439379575545,319.43600628327164,Low CLV,312,Risk,"Risk, Low CLV"
12358,1.0,149.0,150.0,523.2,0.9975860239957409,0.2476334834494973,114.38390472355104,466.5271519889088,Medium CLV,113,Risk,"Risk, Medium CLV"
12359,3.0,275.0,332.0,1941.6933333333334,0.9999999998959563,0.2879296172125294,439.85388171955117,1542.9201929193368,High CLV,223,Risk,"Risk, High CLV"
12360,2.0,148.0,200.0,689.24,0.9999999997848894,0.3211015060159811,188.7256260880144,593.6218883364808,High CLV,113,Risk,"Risk, High CLV"
12362,9.0,293.0,296.0,478.1255555555556,0.9999999999843499,0.8521922511041788,397.63674859105885,471.27055609412366,High CLV,233,Risk,"Risk, High CLV"
12363,1.0,133.0,242.0,252.9,0.9948493283487473,0.16677714900362756,55.355945792549505,335.2348063538304,Low CLV,112,High Value,"High Value, Low CLV"
12364,3.0,105.0,112.0,209.7266666666667,0.9999999999320628,0.7009463935763497,182.35172525104724,262.7522506590893,High CLV,121,High Value,"High Value, High CLV"
12370,3.0,675.0,726.0,611.6233333333333,0.999999999926475,0.1400945159652297,77.6499016568127,559.8106402169633,Medium CLV,323,Risk,"Risk, Medium CLV"
12372,2.0,226.0,297.0,416.41,0.9999999997888109,0.2290519257164256,94.16746269841182,415.229590530247,Medium CLV,213,Risk,"Risk, Medium CLV"
12375,1.0,88.0,98.0,187.20000000000002,0.9973071548088173,0.3399321413804265,102.08817177865824,303.3224604114529,Medium CLV,111,High Value,"High Value, Medium CLV"
12377,1.0,404.0,720.0,546.6,0.9944216931024675,0.0620452077752533,29.357408370943084,477.89319300948165,Low CLV,313,Risk,"Risk, Low CLV"
12379,1.0,89.0,170.0,362.40000000000003,0.9948682853740647,0.22359144148579435,85.98796630984815,388.4220495911263,Medium CLV,112,High Value,"High Value, Medium CLV"
12380,3.0,164.0,185.0,621.7533333333333,0.9999999999185443,0.47490489491450244,266.74521177705634,567.2981407010544,High CLV,223,Risk,"Risk, High CLV"
12381,2.0,115.0,119.0,223.035,0.9999999998773195,0.4832837710716942,138.18549330744324,288.7896440863791,Medium CLV,111,High Value,"High Value, Medium CLV"
12383,4.0,534.0,718.0,268.21,0.9999999998633369,0.18107683412314643,53.51869317234782,298.5135032088667,Low CLV,322,Risk,"Risk, Low CLV"
12384,1.0,93.0,121.0,212.58,0.9967719322931043,0.2916236537952027,91.13968048644638,315.6502433645357,Medium CLV,111,High Value,"High Value, Medium CLV"
12386,1.0,394.0,732.0,143.0,0.9940745403749508,0.061061159454504604,17.03988868633065,281.8532718170375,Low CLV,311,Risk,"Risk, Low CLV"
12388,5.0,312.0,327.0,469.872,0.9999999999637605,0.4547173427685183,207.06910612019942,459.9336280161798,High CLV,333,Risk,"Risk, High CLV"
12393,3.0,261.0,333.0,373.3666666666666,0.9999999998764573,0.28716051345952026,109.09407557818861,383.70531869627257,Medium CLV,222,Nurture,"Nurture, Medium CLV"
12394,1.0,154.0,217.0,729.4000000000001,0.9962780607033414,0.1831772515218466,102.77591648172266,566.6843168795976,Medium CLV,113,Risk,"Risk, Medium CLV"
12395,10.0,718.0,737.0,237.25300000000001,0.9999999999834124,0.40790914681583823,102.61498646542356,254.07897111184278,Medium CLV,332,Risk,"Risk, Medium CLV"
12397,1.0,100.0,135.0,1105.09,0.9966051291707292,0.26843009721861827,199.1080412624537,749.1675626496403,High CLV,113,Risk,"Risk, High CLV"
12399,3.0,142.0,261.0,253.53333333333333,0.9999999996550364,0.35553877505693254,103.89179655952744,295.1315633810127,Medium CLV,122,Nurture,"Nurture, Medium CLV"
12406,1.0,161.0,183.0,1794.05,0.9971821140352833,0.21112646065147198,226.55643879655213,1083.8148969032238,High CLV,213,Risk,"Risk, High CLV"
12407,4.0,215.0,264.0,323.955,0.9999999999145974,0.45028728746876495,152.73720749424209,342.59146074579195,Medium CLV,222,Nurture,"Nurture, Medium CLV"
12408,3.0,228.0,260.0,618.6533333333333,0.9999999999140783,0.3567185156534623,199.55285948468025,565.0068029418558,High CLV,223,Risk,"Risk, High CLV"
12409,2.0,104.0,182.0,2432.795,0.9999999996513556,0.34697704336662755,595.5846099222928,1733.6606773316353,High CLV,113,Risk,"Risk, High CLV"
12412,2.0,95.0,169.0,332.19,0.9999999996477809,0.3684187635225363,131.37652679496188,360.16160196139083,Medium CLV,112,High Value,"High Value, Medium CLV"
12413,2.0,272.0,338.0,130.425,0.9999999998116877,0.20429740903581778,46.1663153785755,228.2357801424019,Low CLV,211,Nurture,"Nurture, Low CLV"
12414,2.0,94.0,311.0,164.325,0.9999999986391552,0.2199514798129466,54.5308921464334,250.4015936366339,Low CLV,111,High Value,"High Value, Low CLV"
12415,14.0,314.0,338.0,8396.653571428571,0.9999999999770701,1.1532382712196687,8946.539436202094,7835.33208710426,High CLV,333,Risk,"Risk, High CLV"
12417,8.0,720.0,723.0,370.595,0.9999999999830176,0.336884317078013,125.26464988476502,375.5511609473789,Medium CLV,332,Risk,"Risk, Medium CLV"
12421,3.0,305.0,320.0,169.86333333333334,0.9999999999331066,0.29749087668690494,68.71380003408872,233.2876181190283,Low CLV,321,Risk,"Risk, Low CLV"
12422,2.0,230.0,325.0,222.53,0.9999999997504185,0.2115465396465598,60.41841336690546,288.45944538978364,Low CLV,211,Nurture,"Nurture, Low CLV"
12423,7.0,719.0,719.0,205.9114285714286,0.9999999999808449,0.29920206946763694,69.05903676289252,233.1187991267082,Low CLV,331,Risk,"Risk, Low CLV"
12427,2.0,716.0,737.0,225.15,0.9999999998766549,0.09957262194559405,28.607170459139365,290.17255545924934,Low CLV,312,Risk,"Risk, Low CLV"
