date,quantity,month,day_of_month,is_month_start,is_month_end,day_of_year,week_of_year,day_of_week,year,is_weekend,is_spring,is_summer,is_fall,is_winter,sin_day,cos_day,is_public_holiday,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_sum_7,rolling_std_7,rolling_mean_30,rolling_sum_30,rolling_std_30,expanding_sum,quantity_winsorized
2009-12-01,26434.0,12,1,1,0,335,49,2,2009,1,0,0,0,1,0.7818314824680298,0.6234898018587336,0,26434.0,26434.0,26434.0,26434.0,26434.0,26434.0,26434.0,23710.571428571428,165974.0,14932.597372383489,17233.666666666668,517010.0,12220.541413406427,26434.0,26434.0
2009-12-02,31938.0,12,2,0,0,336,49,3,2009,2,0,0,0,1,0.9749279121818236,-0.22252093395631434,0,26434.0,26434.0,26434.0,26434.0,26434.0,26434.0,26434.0,23710.571428571428,165974.0,14932.597372383489,17233.666666666668,517010.0,12220.541413406427,58372.0,31938.0
2009-12-03,50898.0,12,3,0,0,337,49,4,2009,3,0,0,0,1,0.43388373911755823,-0.900968867902419,0,31938.0,26434.0,26434.0,26434.0,26434.0,26434.0,26434.0,23710.571428571428,165974.0,14932.597372383489,17233.666666666668,517010.0,12220.541413406427,109270.0,50898.0
2009-12-04,21405.0,12,4,0,0,338,49,5,2009,4,0,0,0,1,-0.433883739117558,-0.9009688679024191,0,50898.0,31938.0,26434.0,26434.0,26434.0,26434.0,26434.0,23710.571428571428,165974.0,14932.597372383489,17233.666666666668,517010.0,12220.541413406427,130675.0,21405.0
2009-12-05,5119.0,12,5,0,0,339,49,6,2009,5,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0,21405.0,50898.0,31938.0,26434.0,26434.0,26434.0,26434.0,23710.571428571428,165974.0,14932.597372383489,17233.666666666668,517010.0,12220.541413406427,135794.0,5119.0
2009-12-06,11623.0,12,6,0,0,340,49,7,2009,6,0,0,0,1,-0.7818314824680299,0.6234898018587334,0,5119.0,21405.0,50898.0,31938.0,26434.0,26434.0,26434.0,23710.571428571428,165974.0,14932.597372383489,17233.666666666668,517010.0,12220.541413406427,147417.0,11623.0
2009-12-07,18557.0,12,7,0,0,341,50,1,2009,0,0,0,0,1,0.0,1.0,0,11623.0,5119.0,21405.0,50898.0,31938.0,26434.0,26434.0,23710.571428571428,165974.0,14932.597372383489,17233.666666666668,517010.0,12220.541413406427,165974.0,18557.0
2009-12-08,26172.0,12,8,0,0,342,50,2,2009,1,0,0,0,1,0.7818314824680298,0.6234898018587336,0,18557.0,11623.0,5119.0,21405.0,50898.0,31938.0,26434.0,23673.14285714286,165712.0,14924.959781392727,17233.666666666668,517010.0,12220.541413406427,192146.0,26172.0
2009-12-09,18403.0,12,9,0,0,343,50,3,2009,2,0,0,0,1,0.9749279121818236,-0.22252093395631434,0,26172.0,18557.0,11623.0,5119.0,21405.0,50898.0,31938.0,21739.571428571428,152177.0,14547.750110780507,17233.666666666668,517010.0,12220.541413406427,210549.0,18403.0
2009-12-10,23718.0,12,10,0,0,344,50,4,2009,3,0,0,0,1,0.43388373911755823,-0.900968867902419,0,18403.0,26172.0,18557.0,11623.0,5119.0,21405.0,50898.0,17856.714285714286,124997.0,7279.953816572498,17233.666666666668,517010.0,12220.541413406427,234267.0,23718.0
2009-12-11,21394.0,12,11,0,0,345,50,5,2009,4,0,0,0,1,-0.433883739117558,-0.9009688679024191,0,23718.0,18403.0,26172.0,18557.0,11623.0,5119.0,21405.0,17855.14285714286,124986.0,7279.061373294663,17233.666666666668,517010.0,12220.541413406427,255661.0,21394.0
2009-12-12,21394.0,12,12,0,0,346,50,6,2009,5,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0,21394.0,23718.0,18403.0,26172.0,18557.0,11623.0,5119.0,20180.14285714286,141261.0,4661.602136196349,17233.666666666668,517010.0,12220.541413406427,277055.0,21394.0
2009-12-13,12611.0,12,13,0,0,347,50,7,2009,6,0,0,0,1,-0.7818314824680299,0.6234898018587334,0,21394.0,21394.0,23718.0,18403.0,26172.0,18557.0,11623.0,20321.285714285714,142249.0,4364.8403450865335,17233.666666666668,517010.0,12220.541413406427,289666.0,12611.0
2009-12-14,45435.0,12,14,0,0,348,51,1,2009,0,0,0,0,1,0.0,1.0,0,12611.0,21394.0,21394.0,23718.0,18403.0,26172.0,18557.0,24161.0,169127.0,10317.405100120857,17233.666666666668,517010.0,12220.541413406427,335101.0,45435.0
2009-12-15,27210.0,12,15,0,0,349,51,2,2009,1,0,0,0,1,0.7818314824680298,0.6234898018587336,0,45435.0,12611.0,21394.0,21394.0,23718.0,18403.0,26172.0,24309.285714285714,170165.0,10358.502525530823,17233.666666666668,517010.0,12220.541413406427,362311.0,27210.0
2009-12-16,25006.0,12,16,0,0,350,51,3,2009,2,0,0,0,1,0.9749279121818236,-0.22252093395631434,0,27210.0,45435.0,12611.0,21394.0,21394.0,23718.0,18403.0,25252.571428571428,176768.0,10026.333092697158,17233.666666666668,517010.0,12220.541413406427,387317.0,25006.0
2009-12-17,15665.0,12,17,0,0,351,51,4,2009,3,0,0,0,1,0.43388373911755823,-0.900968867902419,0,25006.0,27210.0,45435.0,12611.0,21394.0,21394.0,23718.0,24102.14285714286,168715.0,10672.912339634562,17233.666666666668,517010.0,12220.541413406427,402982.0,15665.0
2009-12-18,17457.0,12,18,0,0,352,51,5,2009,4,0,0,0,1,-0.433883739117558,-0.9009688679024191,0,15665.0,25006.0,27210.0,45435.0,12611.0,21394.0,21394.0,23539.714285714286,164778.0,10939.804625225037,17233.666666666668,517010.0,12220.541413406427,420439.0,17457.0
2009-12-19,17457.0,12,19,0,0,353,51,6,2009,5,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0,17457.0,15665.0,25006.0,27210.0,45435.0,12611.0,21394.0,22977.285714285714,160841.0,11167.340726635048,17233.666666666668,517010.0,12220.541413406427,437896.0,17457.0
2009-12-20,6263.0,12,20,0,0,354,51,7,2009,6,0,0,0,1,-0.7818314824680299,0.6234898018587334,0,17457.0,17457.0,15665.0,25006.0,27210.0,45435.0,12611.0,22070.428571428572,154493.0,12345.091681273474,17233.666666666668,517010.0,12220.541413406427,444159.0,6263.0
