itemset,support
"{'22697', '22699'}",0.03173703598753188
"{'22697', '22698'}",0.029186738452819494
"{'22699', '22423'}",0.026636440918107112
"{'22698', '22699'}",0.02606970813261547
"{'22697', '22698', '22699'}",0.02493624256163219
"{'20725', '22383'}",0.02436950977614055
"{'85099B', '22386'}",0.02408614338339473
"{'22726', '22727'}",0.023236044205157267
"{'22728', '22727'}",0.022669311419665626
"{'22697', '22423'}",0.022385945026919808
"{'23209', '23203'}",0.022102578634173985
"{'22960', '22961'}",0.021252479455936526
"{'47566', '23298'}",0.021252479455936526
"{'20725', '20728'}",0.020969113063190707
"{'22086', '22910'}",0.020969113063190707
"{'20725', '20727'}",0.020685746670444885
"{'20728', '22383'}",0.020402380277699066
"{'23245', '22423'}",0.020402380277699066
"{'85099B', '20725'}",0.019835647492207426
"{'22727', '22730'}",0.019552281099461603
"{'20725', '22384'}",0.019552281099461603
"{'85099B', '23203'}",0.019268914706715785
"{'22328', '22326'}",0.019268914706715785
"{'20728', '22384'}",0.019268914706715785
"{'85099B', '85099F'}",0.018985548313969963
"{'22138', '22617'}",0.018985548313969963
"{'22697', '22423', '22699'}",0.018985548313969963
"{'23206', '20725'}",0.018702181921224144
"{'23206', '23209'}",0.018702181921224144
"{'22750', '22749'}",0.01841881552847832
"{'23209', '20725'}",0.01841881552847832
"{'20727', '22383'}",0.01841881552847832
"{'20725', '20726'}",0.01841881552847832
"{'23206', '22383'}",0.018135449135732503
"{'22722', '22720'}",0.018135449135732503
"{'22698', '22423'}",0.018135449135732503
"{'20726', '22382'}",0.01785208274298668
"{'22578', '22577'}",0.01785208274298668
"{'23300', '23301'}",0.01785208274298668
"{'22469', '22470'}",0.017568716350240862
"{'21914', '21915'}",0.017568716350240862
"{'85099B', '21931'}",0.01728534995749504
"{'85099B', '22411'}",0.01728534995749504
"{'22383', '22382'}",0.01728534995749504
"{'20725', '22382'}",0.01728534995749504
"{'23209', '22383'}",0.01700198356474922
"{'82494L', '82482'}",0.01700198356474922
"{'20727', '22384'}",0.01700198356474922
"{'21668', '21669'}",0.0167186171720034
"{'22697', '22698', '22423'}",0.0167186171720034
"{'22726', '22728'}",0.01643525077925758
"{'47590B', '47590A'}",0.01643525077925758
"{'22960', '22720'}",0.01615188438651176
"{'23200', '23199'}",0.01615188438651176
"{'23206', '23199'}",0.01615188438651176
"{'47566', '22423'}",0.01615188438651176
"{'85099B', '23199'}",0.01615188438651176
"{'22554', '22551'}",0.01586851799376594
"{'22698', '22423', '22699'}",0.01586851799376594
"{'21212', '21977'}",0.01586851799376594
"{'22383', '22384'}",0.01586851799376594
"{'23203', '23202'}",0.01586851799376594
"{'23206', '23207'}",0.01558515160102012
"{'23206', '22384'}",0.01558515160102012
"{'85099B', '85099C'}",0.01558515160102012
"{'20728', '20726'}",0.01558515160102012
"{'21671', '21668'}",0.01558515160102012
"{'23175', '23174'}",0.01558515160102012
"{'22961', '22720'}",0.01558515160102012
"{'85099B', '21929'}",0.01558515160102012
"{'23170', '23171'}",0.015301785208274299
"{'23209', '23208'}",0.015301785208274299
"{'22625', '22624'}",0.015301785208274299
"{'22666', '22720'}",0.015301785208274299
"{'22726', '22730'}",0.015301785208274299
"{'22568', '22570'}",0.015301785208274299
"{'23203', '23201'}",0.015018418815528478
"{'20971', '20972'}",0.015018418815528478
"{'23295', '23293'}",0.015018418815528478
"{'22630', '22629'}",0.015018418815528478
"{'23206', '20728'}",0.015018418815528478
"{'22697', '22698', '22423', '22699'}",0.015018418815528478
"{'21136', '84879'}",0.015018418815528478
"{'23256', '23254'}",0.015018418815528478
"{'22383', '20726'}",0.014735052422782658
"{'22112', '22835'}",0.014735052422782658
"{'20725', '20728', '22383'}",0.014735052422782658
"{'23175', '23173'}",0.014735052422782658
"{'21668', '21672'}",0.014735052422782658
"{'23206', '23208'}",0.014735052422782658
"{'23173', '23174'}",0.014735052422782658
"{'22662', '22382'}",0.014451686030036838
"{'23206', '20727'}",0.014451686030036838
"{'23173', '22423'}",0.014451686030036838
"{'23295', '23294'}",0.014168319637291017
"{'22579', '22578'}",0.014168319637291017
"{'23209', '20727'}",0.014168319637291017
"{'21668', '21670'}",0.014168319637291017
"{'23172', '23171'}",0.014168319637291017
"{'22728', '22730'}",0.014168319637291017
"{'23209', '22382'}",0.013884953244545197
"{'85099B', '20712'}",0.013884953244545197
"{'21754', '21755'}",0.013884953244545197
"{'23293', '23296'}",0.013884953244545197
"{'21175', '21181'}",0.013601586851799376
"{'85099F', '22386'}",0.013601586851799376
"{'20728', '20727'}",0.013601586851799376
"{'23203', '23199'}",0.013601586851799376
"{'23173', '22699'}",0.013601586851799376
"{'23356', '23355'}",0.013601586851799376
"{'23207', '23201'}",0.013601586851799376
"{'22138', '22139'}",0.013601586851799376
"{'23209', '20728'}",0.013601586851799376
"{'20728', '22382'}",0.013601586851799376
"{'22751', '22749'}",0.013601586851799376
"{'21671', '21672'}",0.013601586851799376
"{'85123A', '47566'}",0.013601586851799376
"{'23295', '23296'}",0.013601586851799376
"{'23209', '23207'}",0.013601586851799376
"{'22750', '22751'}",0.013601586851799376
"{'23245', '22720'}",0.013318220459053556
"{'21671', '21670'}",0.013318220459053556
"{'22423', '22720'}",0.013318220459053556
"{'22384', '22382'}",0.013318220459053556
"{'22554', '22556'}",0.013318220459053556
"{'85099B', '21928'}",0.013318220459053556
"{'21094', '21086'}",0.013318220459053556
"{'22569', '22570'}",0.013318220459053556
"{'23170', '23172', '23171'}",0.013034854066307736
"{'23170', '23172'}",0.013034854066307736
"{'20719', '20724'}",0.013034854066307736
"{'23207', '20725'}",0.013034854066307736
"{'23175', '23173', '23174'}",0.013034854066307736
"{'21175', '21166'}",0.013034854066307736
"{'23206', '20726'}",0.013034854066307736
"{'22726', '22728', '22727'}",0.012751487673561915
"{'21671', '21669'}",0.012751487673561915
"{'21212', '84991'}",0.012751487673561915
"{'20727', '20726'}",0.012751487673561915
"{'20972', '22749'}",0.012751487673561915
"{'22961', '22423'}",0.012751487673561915
"{'22909', '22952'}",0.012751487673561915
"{'84879', '47566'}",0.012751487673561915
"{'21790', '21791'}",0.012751487673561915
"{'23206', '22382'}",0.012751487673561915
"{'21670', '21669'}",0.012751487673561915
"{'23201', '23199'}",0.012468121280816095
"{'20723', '20724'}",0.012468121280816095
"{'23243', '22720'}",0.012468121280816095
"{'22556', '22551'}",0.012468121280816095
"{'23170', '23173'}",0.012468121280816095
"{'21929', '21928'}",0.012468121280816095
"{'23170', '22699'}",0.012468121280816095
"{'20725', '20727', '22383'}",0.012468121280816095
"{'22727', '22726', '22730'}",0.012468121280816095
"{'21670', '21672'}",0.012184754888070274
"{'23294', '23293'}",0.012184754888070274
"{'84991', '21977'}",0.012184754888070274
"{'22568', '20969'}",0.012184754888070274
"{'21669', '21672'}",0.012184754888070274
"{'85099B', '20724'}",0.012184754888070274
"{'23209', '22384'}",0.012184754888070274
"{'23245', '23240'}",0.012184754888070274
"{'22384', '20726'}",0.012184754888070274
"{'23203', '20725'}",0.012184754888070274
"{'23207', '20728'}",0.011901388495324454
"{'23321', '23322'}",0.011901388495324454
"{'21212', '21975'}",0.011901388495324454
"{'22729', '22727'}",0.011901388495324454
"{'22727', '22728', '22730'}",0.011901388495324454
"{'21671', '21668', '21670'}",0.011901388495324454
"{'20725', '20728', '22384'}",0.011901388495324454
"{'21181', '21166'}",0.011901388495324454
"{'22579', '22577'}",0.011901388495324454
"{'22960', '22423'}",0.011901388495324454
"{'22141', '22144'}",0.011901388495324454
"{'85099B', '22383'}",0.011901388495324454
"{'20725', '22383', '22382'}",0.011618022102578634
"{'20725', '20727', '22384'}",0.011618022102578634
"{'85123A', '22457'}",0.011618022102578634
"{'85099B', '20728'}",0.011618022102578634
"{'20725', '22383', '20726'}",0.011618022102578634
"{'84879', '85123A'}",0.011618022102578634
"{'21671', '21668', '21672'}",0.011618022102578634
"{'22568', '20972'}",0.011618022102578634
"{'21080', '21094'}",0.011618022102578634
"{'21673', '21669'}",0.011618022102578634
"{'22750', '22751', '22749'}",0.011618022102578634
"{'22556', '22555'}",0.011618022102578634
"{'22568', '22569'}",0.011618022102578634
"{'85099B', '23202'}",0.011618022102578634
"{'20725', '23208'}",0.011618022102578634
"{'22193', '22191'}",0.011618022102578634
"{'23207', '22383'}",0.011334655709832813
"{'22086', '23319'}",0.011334655709832813
"{'23294', '23296'}",0.011334655709832813
"{'82486', '82483'}",0.011334655709832813
"{'21671', '21668', '21669'}",0.011334655709832813
"{'21668', '21670', '21669'}",0.011334655709832813
"{'22627', '22624'}",0.011334655709832813
"{'84997D', '84997C'}",0.011334655709832813
"{'84879', '22423'}",0.011334655709832813
"{'22114', '22112'}",0.011334655709832813
"{'22355', '20724'}",0.011334655709832813
"{'23207', '22382'}",0.011334655709832813
"{'22112', '22111'}",0.011334655709832813
"{'20725', '20728', '20726'}",0.011334655709832813
"{'20725', '20726', '22382'}",0.011051289317086993
"{'23170', '23174'}",0.011051289317086993
"{'21673', '21668'}",0.011051289317086993
"{'23343', '23344'}",0.011051289317086993
"{'23170', '22423'}",0.011051289317086993
"{'22697', '23173'}",0.011051289317086993
"{'21843', '22423'}",0.011051289317086993
"{'23318', '23319'}",0.011051289317086993
"{'21673', '21670'}",0.011051289317086993
"{'85123A', '22470'}",0.011051289317086993
"{'21498', '21499'}",0.011051289317086993
"{'23209', '20726'}",0.011051289317086993
"{'21668', '21670', '21672'}",0.011051289317086993
"{'23208', '22383'}",0.011051289317086993
"{'22578', '22579', '22577'}",0.011051289317086993
"{'20727', '22382'}",0.011051289317086993
"{'21673', '21672'}",0.011051289317086993
"{'23206', '20725', '22383'}",0.010767922924341174
"{'23206', '22383', '23209'}",0.010767922924341174
"{'23206', '20725', '23209'}",0.010767922924341174
"{'23206', '23203'}",0.010767922924341174
"{'23351', '23354'}",0.010767922924341174
"{'21671', '21670', '21672'}",0.010767922924341174
"{'23202', '23199'}",0.010767922924341174
"{'23355', '22112'}",0.010767922924341174
"{'21668', '21669', '21672'}",0.010767922924341174
"{'22356', '20724'}",0.010767922924341174
"{'23175', '23170'}",0.010767922924341174
"{'23236', '23240'}",0.010767922924341174
"{'23203', '22411'}",0.010767922924341174
"{'22114', '23355'}",0.010767922924341174
"{'85099B', '23201'}",0.010767922924341174
"{'23207', '20727'}",0.010767922924341174
"{'20728', '20727', '22383'}",0.010767922924341174
"{'21889', '21790'}",0.010767922924341174
"{'22745', '22748'}",0.010767922924341174
"{'20969', '20970'}",0.010767922924341174
"{'22725', '22727'}",0.010767922924341174
"{'20725', '22383', '22384'}",0.010767922924341174
"{'20728', '22383', '22384'}",0.010767922924341174
"{'85099B', '22384'}",0.010767922924341174
"{'23209', '23202'}",0.010484556531595354
"{'20727', '22383', '22384'}",0.010484556531595354
"{'22191', '22192'}",0.010484556531595354
"{'22142', '22144'}",0.010484556531595354
"{'22865', '22866'}",0.010484556531595354
"{'23209', '20725', '22383'}",0.010484556531595354
"{'23207', '22384'}",0.010484556531595354
"{'22950', '22952'}",0.010484556531595354
"{'20725', '22662'}",0.010484556531595354
"{'23202', '23201'}",0.010484556531595354
"{'23175', '22423'}",0.010484556531595354
"{'22750', '20972'}",0.010484556531595354
"{'23206', '85099B'}",0.010484556531595354
"{'22147', '20972'}",0.010484556531595354
"{'23209', '85099B'}",0.010201190138849533
"{'22726', '22725'}",0.010201190138849533
"{'23209', '23199'}",0.010201190138849533
"{'23207', '23203'}",0.010201190138849533
"{'85123A', '82482'}",0.010201190138849533
"{'22142', '22141'}",0.010201190138849533
"{'20725', '20728', '22382'}",0.010201190138849533
"{'23173', '23245'}",0.010201190138849533
"{'22910', '22952'}",0.010201190138849533
"{'23203', '23208'}",0.010201190138849533
"{'22556', '22326'}",0.010201190138849533
"{'23355', '22111'}",0.010201190138849533
"{'22114', '22835'}",0.010201190138849533
"{'21975', '21977'}",0.010201190138849533
"{'22699', '23245'}",0.010201190138849533
"{'22867', '22865'}",0.010201190138849533
"{'23175', '22699'}",0.010201190138849533
"{'23203', '22386'}",0.010201190138849533
"{'22383', '20726', '22382'}",0.010201190138849533
"{'85123A', '21733'}",0.010201190138849533
"{'21671', '21670', '21669'}",0.010201190138849533
"{'22963', '22962'}",0.010201190138849533
